Weight Label,Total Weight (g),Sample #,Sensor Value (V)
None (0g),0,1,223.0
None (0g),0,2,234.0
None (0g),0,3,229.0
None (0g),0,4,229.0
None (0g),0,5,231.0
None (0g),0,6,226.0
None (0g),0,7,225.0
None (0g),0,8,232.0
None (0g),0,9,232.0
None (0g),0,10,231.0
None (0g),0,11,233.0
None (0g),0,12,231.0
None (0g),0,13,238.0
None (0g),0,14,227.0
None (0g),0,15,231.0
None (0g),0,16,234.0
None (0g),0,17,231.0
None (0g),0,18,231.0
None (0g),0,19,231.0
None (0g),0,20,231.0
W1,259,1,353.0
W1,259,2,352.0
W1,259,3,351.0
W1,259,4,353.0
W1,259,5,349.0
W1,259,6,351.0
W1,259,7,349.0
W1,259,8,351.0
W1,259,9,351.0
W1,259,10,347.0
W1,259,11,349.0
W1,259,12,352.0
W1,259,13,343.0
W1,259,14,348.0
W1,259,15,353.0
W1,259,16,350.0
W1,259,17,347.0
W1,259,18,351.0
W1,259,19,352.0
W1,259,20,350.0
W2,128,1,246.0
W2,128,2,248.0
W2,128,3,239.0
W2,128,4,236.0
W2,128,5,238.0
W2,128,6,244.0
W2,128,7,241.0
W2,128,8,242.0
W2,128,9,242.0
W2,128,10,243.0
W2,128,11,246.0
W2,128,12,234.0
W2,128,13,234.0
W2,128,14,236.0
W2,128,15,243.0
W2,128,16,238.0
W2,128,17,238.0
W2,128,18,241.0
W2,128,19,242.0
W2,128,20,242.0
W3,518,1,1159.0
W3,518,2,1164.0
W3,518,3,1166.0
W3,518,4,1164.0
W3,518,5,1166.0
W3,518,6,1165.0
W3,518,7,1166.0
W3,518,8,1167.0
W3,518,9,1166.0
W3,518,10,1171.0
W3,518,11,1167.0
W3,518,12,1172.0
W3,518,13,1170.0
W3,518,14,1175.0
W3,518,15,1177.0
W3,518,16,1174.0
W3,518,17,1180.0
W3,518,18,1178.0
W3,518,19,1177.0
W3,518,20,1176.0
W4,487,1,1065.0
W4,487,2,1074.0
W4,487,3,1070.0
W4,487,4,1074.0
W4,487,5,1074.0
W4,487,6,1085.0
W4,487,7,1091.0
W4,487,8,1095.0
W4,487,9,1092.0
W4,487,10,1095.0
W4,487,11,1101.0
W4,487,12,1097.0
W4,487,13,1118.0
W4,487,14,1112.0
W4,487,15,1120.0
W4,487,16,1124.0
W4,487,17,1123.0
W4,487,18,1131.0
W4,487,19,1130.0
W4,487,20,1130.0
